code,word1_weight,word2_weight,word3_weight,word4_weight,word5_weight,year
662,0,0,0,0,0,2004
525,25,75,0,0,0,2004
532,55,36,0,0,9,2004
790,40,60,0,0,0,2004
644,0,0,0,0,0,2004
583,0,0,0,0,0,2004
634,0,0,0,0,0,2004
743,67,33,0,0,0,2004
524,43,52,0,1,4,2004
520,67,0,0,0,33,2004
635,73,27,0,0,0,2004
800,100,0,0,0,0,2004
512,54,38,0,4,4,2004
537,100,0,0,0,0,2004
716,67,33,0,0,0,2004
692,50,50,0,0,0,2004
821,0,100,0,0,0,2004
756,0,100,0,0,0,2004
746,50,50,0,0,0,2004
502,100,0,0,0,0,2004
630,86,14,0,0,0,2004
559,0,0,0,0,0,2004
757,50,50,0,0,0,2004
506,41,47,1,8,3,2004
736,0,0,0,0,0,2004
514,48,32,5,10,5,2004
523,54,46,0,0,0,2004
754,100,0,0,0,0,2004
767,0,0,0,0,0,2004
637,67,33,0,0,0,2004
648,33,67,0,0,0,2004
519,33,67,0,0,0,2004
564,60,40,0,0,0,2004
517,36,64,0,0,0,2004
584,75,25,0,0,0,2004
575,16,67,0,17,0,2004
759,50,50,0,0,0,2004
602,51,45,3,0,1,2004
868,0,100,0,0,0,2004
515,53,42,0,5,0,2004
598,0,0,0,0,0,2004
510,41,51,4,0,4,2004
752,50,50,0,0,0,2004
546,44,56,0,0,0,2004
604,0,100,0,0,0,2004
522,0,100,0,0,0,2004
535,25,67,8,0,0,2004
673,0,0,0,0,0,2004
600,75,25,0,0,0,2004
623,52,32,4,6,6,2004
682,0,50,0,0,50,2004
542,0,100,0,0,0,2004
751,54,40,0,6,0,2004
679,50,50,0,0,0,2004
505,56,38,0,6,0,2004
606,0,0,0,0,0,2004
676,50,50,0,0,0,2004
765,0,100,0,0,0,2004
565,0,0,0,0,0,2004
516,50,50,0,0,0,2004
801,100,0,0,0,0,2004
802,0,0,0,0,0,2004
649,100,0,0,0,0,2004
745,0,0,0,0,0,2004
724,0,100,0,0,0,2004
513,75,25,0,0,0,2004
570,100,0,0,0,0,2004
866,60,20,0,0,20,2004
571,0,100,0,0,0,2004
670,0,100,0,0,0,2004
509,0,0,0,0,0,2004
592,67,0,0,0,33,2004
798,0,0,0,0,0,2004
773,0,0,0,0,0,2004
563,63,37,0,0,0,2004
755,0,0,0,0,0,2004
658,58,42,0,0,0,2004
518,75,25,0,0,0,2004
545,100,0,0,0,0,2004
567,40,50,10,0,0,2004
647,0,0,0,0,0,2004
636,0,100,0,0,0,2004
566,80,20,0,0,0,2004
569,67,33,0,0,0,2004
533,60,34,6,0,0,2004
710,100,0,0,0,0,2004
766,0,0,0,0,0,2004
