Market,MarketRank (a),Stations,Status (b),Channel,Affiliation,Expiration ofaffiliationagreement,Number ofCommercialStations inthe Market (c),StationRank (d),ExpirationDate ofFCC License
"Tampa, Florida",13,WTTA,LMA,38,WB,1/15/08,9,6,2/01/05 (e)
"Minneapolis/St. Paul, Minnesota",14,KMWB,O&O,23,WB,1/15/08,7,6,4/01/06
"Sacramento, California",19,KOVR (f),O&O,13,CBS,3/05/08,6,2,12/01/06
"St. Louis, Missouri",21,KDNL,O&O,30,ABC,8/07/05,8,4,2/01/06
"Pittsburgh, Pennsylvania",22,WPGH,O&O,53,FOX,6/30/05,9,4,8/01/07
"Baltimore, Maryland",23,WBFF,O&O,45,FOX,6/30/05,6,4,10/01/04 (g)
"Raleigh/Durham, North Carolina",29,WLFL,O&O,22,WB,1/15/08,7,5,12/01/04 (j)
"Nashville, Tennessee",30,WZTV,O&O,17,FOX,6/30/05,8,4,8/01/05
"Kansas City, Missouri",31,KSMO (m),O&O,62,WB,1/15/08,7,5,2/01/06
"Milwaukee, Wisconsin",32,WCGV,O&O,24,UPN,7/31/07,9,5,12/01/05
"Cincinnati, Ohio",33,WSTR,O&O,64,WB,1/15/08,6,5,10/01/05
"Columbus, Ohio",34,WSYX,O&O,6,ABC,1/31/05 (n),5,3,10/01/05
"Asheville, North Carolina/ Greenville/Spartanburg/ Anderson, South Carolina",35,WLOS,O&O,13,ABC,1/31/05 (n),8,3,12/01/04 (j)
"San Antonio, Texas",37,KABB,O&O,29,FOX,6/30/05,7,4,8/01/06
"Birmingham, Alabama",40,WTTO,O&O,21,WB,1/15/08,8,5,4/01/05 (e)
"Norfolk, Virginia",41,WTVZ,O&O,33,WB,1/15/08,7,6,10/01/04 (e)
"Oklahoma City, Oklahoma",45,KOCB,O&O,34,WB,1/15/08,10,5,6/01/06
"Buffalo, New York",46,WUTV,O&O,29,FOX,6/30/05,8,4,6/01/07
"Greensboro/Winston-Salem/ Highpoint, North Carolina",48,WXLV,O&O,45,ABC,9/03/05,7,4,12/01/04 (j)
"Las Vegas, Nevada",51,KVWB,O&O,21,WB,1/15/08,7,5,10/01/06
"Dayton, Ohio",56,WKEF,O&O,22,ABC,open ended,8,3,10/01/05
"Richmond, Virginia",61,WRLH,O&O,35,FOX,6/30/05,5,4,10/01/04 (e)
"Charleston and Huntington, West Virginia",62,WCHS,O&O,8,ABC,1/01/00 (n),6,3,10/01/04 (e)
"mobilealabamaandpensacolaflorida",63,WEAR,O&O,3,ABC,1/01/00 (n),8,2,2/01/05 (e)
"Lexington, Kentucky",64,WDKY,O&O,56,FOX,6/30/05,6,4,8/01/05
"Flint/Saginaw/Bay City, Michigan",65,WSMH,O&O,66,FOX,6/30/05,5,4,10/01/05
"Des Moines, Iowa",73,KDSM,O&O,17,FOX,6/30/05,5,4,2/01/06
"Portland, Maine",74,WGME,O&O,13,CBS,12/31/07,6,2,4/01/07
"Rochester, New York",75,WUHF,O&O,31,FOX,6/30/05,6,4,6/01/07
"Syracuse, New York",77,WSYT,O&O,68,FOX,6/30/05,6,4,6/01/07
"Cape Girardeau, Missouri/ Paducah Kentucky",79,KBSI,O&O,23,FOX,6/30/05,7,4,2/01/06
"Springfield/Champaign, Illinois",82,WICS,O&O,20,NBC (r),4/01/04 (n),6,2,12/01/05
"Madison, Wisconsin",85,WMSN,O&O,47,FOX,6/30/05,6,4,12/01/05
"Cedar Rapids, Iowa",88,KGAN,O&O (t),2,CBS,12/31/07,6,3,2/01/06
"Tri-Cities, Tennessee",89,WEMT,O&O,39,FOX,6/30/05,7,4,8/01/05
"Charleston, South Carolina",101,WMMP,O&O,36,UPN,7/31/07,5,5,12/01/04 (j)
"Springfield, Massachusetts",106,WGGB,O&O,40,ABC,1/31/05 (n),3,2,4/01/07
"Tallahassee, Florida",109,WTWC,O&O,40,NBC,12/31/06,5,3,2/01/05 (e)
"Peoria/Bloomington, Illinois",117,WYZZ,O&O (v),43,FOX,6/30/05,5,4,12/01/05
