Market,MarketRank (a),Stations,Channel,Status (b),Network/Program ServiceArrangement (c),StationRank inMarket (d),ExpirationDate of FCCLicense
"Tampa/St. Petersburg, Florida",14,WTTA,Primary,O&O,MNT,8 of 9,2/01/13 (f)
"Minneapolis/St. Paul, Minnesota",15,WUCWWUCW,PrimarySecond,O&O,CWThe Country Network,6 of 7,4/01/14
"St. Louis, Missouri",21,KDNLKDNL,PrimarySecond,O&O,ABCThe Country Network,4 of 7,2/01/14
"Pittsburgh, Pennsylvania",23,WPGHWPMYWPGH,PrimaryPrimarySecond,O&OO&O,FOXMNTThe Country Network,4 of 66 of 6,8/01/158/01/15
"Raleigh/Durham, North Carolina",24,WLFLWRDCWLFL,PrimaryPrimarySecond,O&OO&O,CWMNTThe Country Network,5 of 76 of 7,12/01/04 (e)12/01/04 (e)
"Baltimore, Maryland",27,WBFFWNUVWBFFWBFF,PrimaryPrimarySecondThird,O&OLMA(g),FOXCWThis TVThe Country Network,3 of 65 of 6,10/01/04 (e)10/01/12 (f)
"Nashville, Tennessee",29,WZTVWUXPWNABWNAB,PrimaryPrimaryPrimarySecond,O&OO&OOSA(h),FOXMNTCWThe Country Network,4 of 75 of 76 of 7,8/01/138/01/138/01/13
"Columbus, Ohio",32,WSYXWTTEWWHOWSYX,PrimaryPrimaryPrimarySecond,O&OLMA(g)OSA(k),ABCFOXCWThis TV and MNT,3 of 64 of 65 of 6,10/01/1310/01/05 (e)10/01/13
"Salt Lake City/St. George, Utah",33,KUTVKMYUKUTVKMYU,PrimaryPrimarySecondSecond,O&OO&O,CBSThis TV and MNTThis TV and MNTCBS(p),1 of 75 of 7,10/01/1410/01/14
"Milwaukee, Wisconsin",34,WVTVWCGVWCGV,PrimaryPrimarySecond,O&OO&O,CWMNTThe Country Network,6 of 97 of 9,12/01/1312/01/05 (e)
"Cincinnati, Ohio",35,WKRCWSTRWKRC,PrimaryPrimarySecond,O&OOSA(q),CBSMNTCW,1 of 75 of 76 of 7,10/01/1310/01/13
"San Antonio, Texas",36,WOAIKABBKMYSKABBWOAI,PrimaryPrimaryPrimarySecondSecond,O&OO&OOSA(q),NBCFOXCWThe Country NetworkLive Well Network,3 of 74 of 75 of 7,8/01/148/01/148/01/14
"Asheville, North Carolina/ Greenville/Spartanburg/ Anderson, South Carolina",37,WLOSWMYAWLOSWMYA,PrimaryPrimarySecondSecond,O&OLMA(g),ABCMNTMNTThe Country Network,3 of 65 of 6,12/01/04 (e)12/01/04 (e)
"West Palm Beach/Fort Pierce, Florida",38,WPECWTVXWTCNWWHBWPECWPECWTVXWTVXWTVX,PrimaryPrimaryPrimaryPrimarySecondThirdSecondThirdFourth,O&OO&OO&OO&O,CBSCWMNTAZTECA(t)CBS(p)Weather RadarAZTECA(p)MNT(p)LATV,2 of 65 of 66 of 6not available,2/01/13 (f)2/01/13 (f)2/01/13 (f)2/01/13 (f)
"Grand Rapids/Kalamazoo, Michigan",39,WWMTWWMT,PrimarySecond,O&O,CBSCW,1 of 6,10/01/13
"Las Vegas, Nevada",40,KVMYKVCWKVMYKVCWKVCW,PrimaryPrimarySecondSecondThird,O&OO&O,MNTCWEstella TVThis TVThe Country Network,5 of 76 of 7,10/01/1410/01/14
"Oklahoma City, Oklahoma",41,KOKHKOCBKOKH,PrimaryPrimarySecond,O&OO&O,FOXCWThe Country Network,4 of 75 of 7,6/01/146/01/14
"Birmingham, Alabama",42,WTTOWABMWDBBWTTOWDBB,PrimaryPrimaryPrimarySecondSecond,O&OO&OLMA(g),CWMNTCWThe Country NetworkThe Country Network,5 of 86 of 85 of 8 (l),4/01/05 (e)4/01/134/01/13
"Harrisburg/Lancaster/ Lebanon/York, Pennsylvania",43,WHPWLYHWHPWLYH,PrimaryPrimarySecondSecond,O&OLMA(r),CBSCWMNTLive Well Network,3 of 85 of 8,8/01/158/01/07(e)
"Norfolk, Virginia",44,WTVZWTVZ,PrimarySecond,O&O,MNTThe Country Network,6 of 7,10/01/12 (f)
"Austin, Texas",45,KEYEKEYE,PrimarySecond,O&O,CBSTelemundo,3 of 6,8/01/14
"Greensboro/Winston-Salem/Highpoint, North Carolina",46,WXLVWMYVWXLV,PrimaryPrimarySecond,O&OO&O,ABCMNTThe Country Network,4 of 65 of 6,12/01/04 (e)12/01/04 (e)
"Buffalo, New York",52,WUTVWNYOWUTV,PrimaryPrimarySecond,O&OO&O,FOXMNTThe Country Network,4 of 66 of 6,6/01/156/01/15
"Providence, Rhode Island/ New Bedford, Massachusetts",53,WLWCWLWC,PrimarySecond,O&O,CWLATV,5 of 7,4/01/15
"Richmond, Virginia",57,WRLHWRLH,PrimarySecond,O&O,FOXThis TV and MNT,4 of 6,10/01/12 (f)
"Albany, New York",58,WRGBWCWNWRGBWCWN,PrimaryPrimarySecondSecond,O&OO&O,CBSCWThis TVCBS(p),1 of 65 of 6,6/01/156/01/15
"Mobile, Alabama/Pensacola, Florida",60,WEARWPMIWJTCWFGXWEARWPMI,PrimaryPrimaryPrimaryPrimarySecondSecond,O&OOSA(q)OSA(q)O&O,ABCNBCINDThis TV and MNTThe Country NetworkThe Weather Authority Network,2 of 74 of 75 of 77 of 7,2/01/13 (f)4/01/132/01/13 (f)2/01/13 (f)
"Dayton, Ohio",63,WKEFWRGTWRGT,PrimaryPrimarySecond,O&OLMA(g),ABCFOXThis TV and MNT,3 of 54 of 5,10/01/1310/01/05 (e)
"Lexington, Kentucky",64,WDKY,Primary,O&O,FOX,4 of 6,8/01/13
"Charleston/Huntington, West Virginia",65,WCHSWVAHWVAH,PrimaryPrimarySecond,O&OLMA(g),ABCFOXThe Country Network,2 of 64 of 6,10/01/12 (f)10/01/04 (e)
"Wichita/Hutchinson Plus, Kansas",66,KSAS (o)KMTWKSAS (o)KMTW,PrimaryPrimarySecondSecond,O&OLMA(r),FOXMNTAntenna TVThe Country Network,4 of 66 of 6,6/01/146/01/14
"Flint/Saginaw/Bay City, Michigan",67,WSMHWSMH,PrimarySecond,O&O,FOXThe Country Network,3 of 6,10/01/13
"Des Moines, Iowa",72,KDSMKDSM,PrimarySecond,O&O,FOXThe Country Network,4 of 6,2/01/14
"Rochester, New York",78,WUHFWHAMWHAM,PrimaryPrimarySecond,O&O(i)OSA(s),FOXABCCW,not availablenot available,6/01/156/01/15
"Portland, Maine",80,WGME,Primary,O&O,CBS,2 of 6,4/01/15
"Cape Girardeau, Missouri/Paducah, Kentucky",81,KBSIWDKAKBSIWDKA,PrimaryPrimarySecondSecond,O&OLMA,FOXMNTMNTThe Country Network,4 of 65 of 6,2/01/148/01/13
