Market,MarketRank(a),Num. of ChannelsTotal/(Primary)(d),Stations(e),NetworkAffiliation(f),Network AffiliationExpiration(b),StationRank inMarket(c)
"Washington, DC",8,3(1),WJLA,ABC,12/31/2017,2 of 8
"Seattle /Tacoma, WA",14,5(2),KOMOKUNS,ABCUnivision,8/31/201912/31/2014,3 of 10N/A
"Minneapolis, MN",15,3(1),WUCW,CW,8/31/2016,5 of 7
"St. Louis, MO",21,3(1),KDNL,ABC,8/31/2020,4 of 7
"Pittsburgh, PA",22,4(2),WPGHWPMY,FOXMNT,12/31/20178/31/2015,4 of 76 of 7
"Portland, OR",23,7(3),KATUKUNP,ABCUnivision,8/31/201912/31/2014,2 of 8N/A
"Raleigh / Durham, NC",25,4(2),WLFLWRDC,CWMNT,8/31/20168/31/2015,5 of 86 of 8
"Baltimore, MD",26,7(3),WBFFWNUV(g)WUTB(h),FOXCWMNT,12/31/20178/31/20168/31/2015,3 of 65 of 66 of 6
"Nashville, TN",29,7(3),WZTVWUXPWNAB(h),FOXMNTCW,12/31/20178/31/20158/31/2016,4 of 86 of 87 of 8
"Columbus, OH",32,6(4),WSYXWTTE(g)WWHO(h),ABCFOXCW,8/31/202012/31/201712/31/2016,2 of 74 of 75 of 7
"San Antonio, TX",33,6(3),WOAIKABBKMYS(h),NBCFOXCW,1/1/201612/31/20178/31/2016,3 of 74 of 75 of 7
"Salt Lake City, UT",34,5(5),KUTVKMYU,CBSMNT,4/29/20178/31/2015,1 of 77 of 7
"Milwaukee, WI",35,5(2),WVTVWCGV,CWMNT,8/31/20168/31/2015,6 of 98 of 9
"Cincinnati, OH",36,4(3),WKRCWSTR(h),CBS/CWMNT,6/2/20168/31/20168/31/2015,1 of 7N/A5 of 7
"Asheville, NC / Anderson, SC / Greenville Spartanburg, SC",37,6(3),WLOSWMYA(g),ABCMNT,8/31/20208/31/2015,3 of 75 of 7
"West Palm Beach /Fort Pierce, FL",38,7(4),WPECWTVXWTCN-CA,CBSCW/MNT,1/31/20168/31/20168/31/2015,2 of 75 of 76 of 7
"Austin, TX",39,2(1),KEYE,CBS,4/29/2017,3 of 6
"Grand Rapids / Kalamazoo, MI",40,2(2),WWMT,CBS/CW,12/31/20168/31/2016,1 of 6N/A
"Las Vegas, NV",41,6(3),KSNVKVCW,NBCCWMNT,8/31/20158/31/20169/8/2011,3 of 65 of 66 of 6
"Norfolk, VA",42,3(1),WTVZ,MNT,8/31/2015,6 of 7
"Birmingham, AL",43,15(7)(j),WBMAWTTO/WDBB(g)WABM,ABCCWMNT,12/31/20178/31/20168/31/2015,3 of 85 of 86 of 8
"Oklahoma City, OK",44,5(2),KOKHKOCB,FOXCW,12/31/20178/31/2016,4 of 85 of 8
"Harrisburg / Lancaster / Lebanon / York, PA",45,4(3),WHPWLYH(g),CBS/MNTCW,6/2/20168/31/20155/30/2016,2 of 7N/A5 of 7
"Greensboro / High Point / Winston Salem, NC",46,5(2),WXLVWMYV,ABCMNT,8/31/20208/31/2015,4 of 75 of 7
"Buffalo, NY",52,5(2),WUTVWNYO,FOXMNT,12/31/20178/31/2015,4 of 76 of 7
"Providence, RI / New Bedford, MA",53,2(1),WJAR,NBC,12/31/2015,1 of 7
"Fresno / Visalia, CA",54,5(3),KMPHKFRE,FOXCW,12/31/20158/31/2016,2 of 75 of 7
"Wilkes Barre / Scranton, PA",55,8(7),WOLF(g)WQMY(g)WSWB(h),FOXMNTCW,6/30/20169/1/20158/31/2017,4 of 77 of 76 of 7
"Little Rock / Pine Bluff, AR",56,3(1),KATV,ABC,12/31/2017,2 of 8
"Richmond, VA",57,2(2),WRLH,FOXMNT,12/31/201712/31/2015,4 of 6
"Albany, NY",58,5(3),WRGBWCWN,CBSCW,1/31/20168/31/2016,1 of 65 of 6
"Mobile, AL / Pensacola, FL",59,8(3),WEARWPMI(h)WJTC(h)WFGX,ABCNBCINDMNT,8/31/20201/1/2016None8/31/2015,2 of 84 of 85 of 86 of 8
"Tulsa, OK",60,3(1),KTUL,ABC,12/31/2017,2 of 11
"Lexington, KY",63,3(1),WDKY,FOX,12/31/2017,4 of 8
"Dayton, OH",64,5(3),WKEFWRGT(g),ABCFOX/MNT,8/31/202012/31/201712/31/2015,3 of 54 of 5
"Wichita / Hutchinson, KS",65,12(6),KAAS/KSAS/ KOCWKMTW(g),FOXMNT,12/31/20178/31/2015,4 of 66 of 6
"Charleston / Huntington, WV",66,5(2),WCHSWVAH,ABCFOX,8/31/202012/31/2017,2 of 64 of 6
"Roanoke / Lynchburg, VA",67,3(1),WSET,ABC,12/31/2017,2 of 5
"Green Bay / Appleton, WI",68,2(2),WLUKWCWF,FOXCW,12/31/20178/31/2016,2 of 75 of 7
"Flint / Saginaw / Bay City, MI",70,9(5),WEYI(h)WSMHWBSF(h),NBCFOXCW,12/31/201512/31/20178/31/2016,3 of 74 of 75 of 7
"Des Moines, IA",72,3(1),KDSM,FOX,12/31/2017,4 of 6
"Spokane, WA",73,2(1),KLEW,CBS,2/29/2016,N/A
"Omaha, NE",74,6(3),KPTMKXVO(g),FOX/MNTCW,12/31/201512/31/20158/31/2016,4 of 85 of 8
"Toledo, OH",76,2(1),WNWO,NBC,12/31/2015,3 of 6
"Columbia, SC",77,2(1),WACH,FOX,6/30/2017,4 of 5
"Rochester, NY",78,5(3),WHAM(h)WUHF,ABC/CWFOX,12/31/20178/31/201612/31/2017,3 of 64 of 6
"Portland, ME",80,4(2),WGMEWPFO(h),CBSFOX,12/31/20186/30/2016,2 of 64 of 6
"Cape Girardeau, MO / Paducah, KY",81,5(3),KBSIWDKA(g),FOXMNT,12/31/20178/31/2015,4 of 65 of 6
"Madison, WI",82,3(1),WMSN,FOX,12/31/2017,4 of 6
"Syracuse, NY",84,6(4),WSTMWTVH(h),NBC/CWCBS,12/31/20158/31/201612/31/2015,2 of 87 of 83 of 8
"Champaign / Springfield / Decatur, IL",85,11(5),WICD/WICSWRSP/WCCU(h)WBUI(h),ABCFOXCW,8/31/202012/31/20158/31/2016,3 of 64 of 66 of 6
"Harlingen / Weslaco / Brownsville / McAllen, TX",86,2(1),KGBT,CBS,12/31/2018,2 of 8
"Chattanooga, TN",88,3(1),WTVC,ABC,8/31/2020,1 of 7
"Cedar Rapids, IA",90,5(2),KGANKFXA(h),CBSFOX,12/31/201812/31/2017,3 of 54 of 5
"El Paso, TX",91,5(3),KDBCKFOX,CBS/MNTFOX,8/31/201610/30/20156/30/2017,2 of 73 of 7
"Savannah, GA",92,1(1),WTGS,FOX,12/31/2017,4 of 6
"Charleston, SC",95,4(2)(j),WCIV,ABCMNT,12/31/20178/31/2015,2 of 65 of 6
"Myrtle Beach / Florence, SC",102,4(3),WPDEWWMB(g),ABCCW,12/31/20188/31/2016,2 of 65 of 6
"Johnstown / Altoona, PA",104,3(1),WJAC,NBC,12/31/2017,1 of 5
"Tallahassee, FL",106,3(3),WTWCWTLF(h),NBC/FOXCW,12/31/20166/30/20168/31/2017,3 of 64 of 65 of 6
"Reno, NV",107,7(3),KRNV(h)KRXIKAME(g),NBCFOXMNT,12/31/20176/30/20178/31/2015,3 of 64 of 65 of 6
"Boise, ID",109,5(3),KBOI,CBS/CW,2/29/20168/31/2016,2 of 97 of 9
"Peoria / Bloomington, IL",117,2(2),WHOI(i),ABC/CW,8/31/20198/31/2016,3 of 6
"Traverse City / Cadillac, MI",118,8(8),WPBN/WTOMWGTU/WGTQ(h),NBCABC/CW,12/31/201512/31/20178/31/2016,2 of 43 of 4
"Macon, GA",119,2(2),WGXA,FOX/ABC,6/30/201612/31/2015,2 of 5
"Eugene, OR",120,13(9),KVAL/KCBY/KPICKMTR/KMCB/KTCW(h),CBSNBC/CW,2/29/201612/31/20158/31/2016,1 of 63 of 6
"Yakima / Pasco / Richland / Kennewick, WA",122,8(6),KEPR/KIMAKVVK-CD/KUNW-CD,CBS/CWUnivision,2/29/20168/31/201912/31/2014,1 of 6N/A
"Bakersfield, CA",127,5(3),KBAK,CBS/FOX,3/3/201612/31/2015,2 of 64 of 6
"Amarillo, TX",130,4(4),KVII/KVIH,ABC/CW,12/31/20188/31/2016,2 of 7
"Columbia / Jefferson City, MO",138,3(1),KRCG,CBS,6/30/2015,1 of 7
"Medford, OR",140,3(2),KTVL,CBS/CW,1/31/20168/31/2016,2 of 6
"Beaumont, TX",141,5(3),KFDMKBTV(h),CBS/CWFOX,1/31/20168/31/201612/31/2017,1 of 63 of 6
"Sioux City, IA",149,7(5),KMEG(h)KPTH,CBSFOX/MNT,1/31/201612/31/201511/1/2014,3 of 74 of 7
"Albany, GA",152,3(1),WFXL,FOX,6/30/2017,3 of 7
"Wheeling, WV / Steubenville, OH",157,3(2),WTOV,NBC/FOX,12/31/20171/16/2015,1 of 5
"Gainesville, FL",162,4(3),WGFL(g)WNBW(h),CBS/MNTNBC,6/30/20179/1/20151/1/2016,2 of 66 of 64 of 6
"Quincy, IL / Hannibal, MO / Keokuk, IA",170,3(2),KHQA,CBS/ABC,6/30/20158/31/2020,2 of 5
"Marquette, MI",180,3(2),WLUC,NBC/FOX,12/31/20156/30/2017,1 of 7
"Ottumwa, IA / Kirksville, MO",200,2(2),KTVO,ABC/CBS,12/31/20184/30/2015,1 of 4
