"code","market"
662,"abilenesweetwatertx"
525,"albanyga"
525,"albanygeorgia"
532,"albanynewyork"
532,"albanyny"
634,"amarillotexas"
634,"amarillotx"
567,"ashevillencandersonscgreenvillespartanburgsc"
567,"ashevillencgreenvillesc"
567,"ashevillenorthcarolinagreenvillespartanburgandersonsouthcarolina"
635,"austintexas"
635,"austintx"
800,"bakersfieldca"
800,"bakersfieldcalifornia"
512,"baltimoremaryland"
512,"baltimoremd"
692,"beaumontportarthurorangetx"
692,"beaumonttexas"
692,"beaumonttx"
630,"birminghamal"
630,"birminghamalabama"
630,"birminghamtuscaloosaal"
757,"boiseid"
757,"boiseidaho"
514,"buffalonewyork"
514,"buffalony"
754,"buttebozemanmt"
632,"capegirardeaumissouri"
632,"capegirardeaumissouripaducahkentucky"
632,"capegirardeaumopaducahky"
637,"cedarrapidsia"
637,"cedarrapidsiowa"
648,"champaignspringfielddecaturil"
564,"charlestonandhuntingtonwestvirginia"
564,"charlestonhuntingtonwestvirginia"
564,"charlestonhuntingtonwv"
518,"charlestonsc"
518,"charlestonsouthcarolina"
575,"chattanoogatennessee"
575,"chattanoogatn"
868,"chicoreddingca"
515,"cincinnatioh"
515,"cincinnatiohio"
752,"coloradospringscolorado"
604,"columbiajeffersoncitymissouri"
604,"columbiajeffersoncitymo"
546,"columbiasc"
546,"columbiasouthcarolina"
535,"columbusoh"
535,"columbusohio"
600,"corpuschristitx"
542,"daytonoh"
542,"daytonohio"
679,"desmoinesamesia"
679,"desmoinesia"
679,"desmoinesiowa"
765,"elpasotexas"
765,"elpasotx"
801,"eugeneor"
801,"eugeneoregon"
802,"eurekaca"
513,"flintsaginawbaycitymi"
513,"flintsaginawbaycitymichigan"
866,"fresnovisaliaca"
866,"fresnovisaliacalifornia"
592,"gainesvillefl"
563,"grandrapidskalamazoobattlecreekmi"
563,"grandrapidskalamazoomi"
563,"grandrapidskalamazoomichigan"
658,"greenbayappletonwi"
518,"greensborohighpointwinstonsalemnc"
518,"greensborowinstonsalemhighpointnorthcarolina"
545,"greenvillenewbernwashingtonnc"
636,"harlingenweslacobrownsvillemcallentx"
636,"harlingenweslacobrownsvillemcallentxf"
569,"harrisburglancasterlebanonyorkpa"
569,"harrisburglancasterlebanonyorkpennsylvania"
574,"johnstownaltoonapa"
616,"kansascitymissouri"
551,"lansingmichigan"
839,"lasvegasnevada"
541,"lasvegasnv"
541,"lexingtonkentucky"
541,"lexingtonky"
541,"lexingtonkyf"
722,"lincolnandhastingkearneyne"
722,"lincolnandhastingskearneyne"
693,"littlerockpinebluffar"
503,"maconga"
669,"madisonwi"
669,"madisonwisconsin"
553,"marquettemi"
553,"marquettemichigan"
813,"medfordklamathfallsor"
813,"medfordor"
813,"medfordoregon"
617,"milwaukeewi"
617,"milwaukeewisconsin"
613,"minneapolismn"
613,"minneapolisstpaulminnesota"
613,"minneapolisstpaulmn"
762,"missoulamt"
686,"mobilealabamaand"
686,"mobilealabamaandpensacolaflorida"
686,"mobilealabamapensacolaflorida"
686,"mobilealpensacolafl"
570,"myrtlebeachflorencesc"
659,"nashvilletennessee"
659,"nashvilletn"
544,"norfolkva"
544,"norfolkvirginia"
650,"oklahomacityok"
650,"oklahomacityoklahoma"
652,"omahane"
652,"omahanebraska"
631,"ottumwaiakirksvillemo"
632,"paducahkentucky"
632,"paducahkycapegirardeaumo"
686,"pensacolaflorida"
675,"peoriabloomingtonil"
675,"peoriabloomingtonillinois"
508,"pittsburghpa"
508,"pittsburghpennsylvania"
500,"portlandmaine"
500,"portlandme"
820,"portlandor"
820,"portlandoregon"
521,"providencerhodeislandnewbedfordmassachusetts"
521,"providencerinewbedfordma"
717,"quincyilhannibalmokeokukia"
560,"raleighdurhamnc"
560,"raleighdurhamnorthcarolina"
811,"renonevada"
811,"renonv"
556,"richmondva"
556,"richmondvirginia"
573,"roanokelynchburgva"
538,"rochesternewyork"
538,"rochesterny"
862,"sacramentocalifornia"
770,"saltlakecitystgeorgeutah"
770,"saltlakecityut"
661,"sanangelotx"
641,"sanantoniotexas"
641,"sanantoniotx"
507,"savannahga"
819,"seattletacomawa"
624,"siouxcityia"
624,"siouxcityiowa"
588,"southbendelkhartin"
811,"spokanewa"
811,"spokanewashington"
648,"springfieldchampaigndecaturillinois"
648,"springfieldchampaignillinois"
619,"springfieldmassachusetts"
554,"steubenvilleohwheelingwv"
609,"stlouismissouri"
609,"stlouismo"
555,"syracusenewyork"
555,"syracuseny"
530,"tallahasseefl"
530,"tallahasseeflorida"
539,"tampaflorida"
539,"tampastpetersburgflorida"
547,"toledooh"
547,"toledoohio"
540,"traversecitycadillacmi"
531,"tricitiestennessee"
531,"tricitiestnva"
671,"tulsaok"
511,"washingtondc"
548,"westpalmbeachfortpiercefl"
548,"westpalmbeachfortpierceflorida"
548,"westpalmbeachftpiercefl"
554,"wheelingwvsteubenvilleoh"
678,"wichitahutchinsonks"
678,"wichitahutchinsonpluskansas"
678,"wichitaks"
577,"wilkesbarrescrantonpa"
810,"yakimapascorichlandkennewickwa"
810,"yakimapascorichlandkennewickwashington"
