code,year,sinclair_present,years_before
500,2004,TRUE,-0
500,2005,TRUE,1
500,2006,TRUE,2
500,2007,TRUE,3
500,2008,TRUE,4
500,2009,TRUE,5
500,2010,TRUE,6
500,2011,TRUE,7
500,2012,TRUE,8
500,2013,TRUE,9
500,2014,TRUE,10
500,2015,TRUE,11
500,2016,TRUE,12
500,2017,TRUE,13
500,2018,TRUE,14
500,2019,TRUE,15
500,2020,TRUE,16
501,2004,FALSE,-99
501,2005,FALSE,-99
501,2006,FALSE,-99
501,2007,FALSE,-99
501,2008,FALSE,-99
501,2009,FALSE,-99
501,2010,FALSE,-99
501,2011,FALSE,-99
501,2012,FALSE,-99
501,2013,FALSE,-99
501,2014,FALSE,-99
501,2015,FALSE,-99
501,2016,FALSE,-99
501,2017,FALSE,-99
501,2018,FALSE,-99
501,2019,FALSE,-99
501,2020,FALSE,-99
502,2004,FALSE,-99
502,2005,FALSE,-99
502,2006,FALSE,-99
502,2007,FALSE,-99
502,2008,FALSE,-99
502,2009,FALSE,-99
502,2010,FALSE,-99
502,2011,FALSE,-99
502,2012,FALSE,-99
502,2013,FALSE,-99
502,2014,FALSE,-99
502,2015,FALSE,-99
502,2016,FALSE,-99
502,2017,FALSE,-99
502,2018,FALSE,-99
502,2019,FALSE,-99
502,2020,FALSE,-99
503,2004,FALSE,-10
503,2005,FALSE,-9
503,2006,FALSE,-8
503,2007,FALSE,-7
503,2008,FALSE,-6
503,2009,FALSE,-5
503,2010,FALSE,-4
503,2011,FALSE,-3
503,2012,FALSE,-2
503,2013,FALSE,-1
503,2014,TRUE,-0
503,2015,TRUE,1
503,2016,TRUE,2
503,2017,TRUE,3
503,2018,TRUE,4
503,2019,TRUE,5
503,2020,TRUE,6
504,2004,FALSE,-99
504,2005,FALSE,-99
504,2006,FALSE,-99
504,2007,FALSE,-99
504,2008,FALSE,-99
504,2009,FALSE,-99
504,2010,FALSE,-99
504,2011,FALSE,-99
504,2012,FALSE,-99
504,2013,FALSE,-99
504,2014,FALSE,-99
504,2015,FALSE,-99
504,2016,FALSE,-99
504,2017,FALSE,-99
504,2018,FALSE,-99
504,2019,FALSE,-99
504,2020,FALSE,-99
505,2004,FALSE,-99
505,2005,FALSE,-99
505,2006,FALSE,-99
505,2007,FALSE,-99
505,2008,FALSE,-99
505,2009,FALSE,-99
505,2010,FALSE,-99
505,2011,FALSE,-99
505,2012,FALSE,-99
505,2013,FALSE,-99
505,2014,FALSE,-99
505,2015,FALSE,-99
505,2016,FALSE,-99
505,2017,FALSE,-99
505,2018,FALSE,-99
505,2019,FALSE,-99
505,2020,FALSE,-99
506,2004,FALSE,-99
506,2005,FALSE,-99
506,2006,FALSE,-99
506,2007,FALSE,-99
506,2008,FALSE,-99
506,2009,FALSE,-99
506,2010,FALSE,-99
506,2011,FALSE,-99
506,2012,FALSE,-99
506,2013,FALSE,-99
506,2014,FALSE,-99
506,2015,FALSE,-99
506,2016,FALSE,-99
506,2017,FALSE,-99
506,2018,FALSE,-99
506,2019,FALSE,-99
506,2020,FALSE,-99
507,2004,FALSE,-10
507,2005,FALSE,-9
507,2006,FALSE,-8
507,2007,FALSE,-7
507,2008,FALSE,-6
507,2009,FALSE,-5
507,2010,FALSE,-4
507,2011,FALSE,-3
507,2012,FALSE,-2
507,2013,FALSE,-1
507,2014,TRUE,-0
507,2015,TRUE,1
507,2016,TRUE,2
507,2017,TRUE,3
507,2018,TRUE,4
507,2019,TRUE,5
507,2020,TRUE,6
508,2004,TRUE,-0
508,2005,TRUE,1
508,2006,TRUE,2
508,2007,TRUE,3
508,2008,TRUE,4
508,2009,TRUE,5
508,2010,TRUE,6
508,2011,TRUE,7
508,2012,TRUE,8
508,2013,TRUE,9
508,2014,TRUE,10
508,2015,TRUE,11
508,2016,TRUE,12
508,2017,TRUE,13
508,2018,TRUE,14
508,2019,TRUE,15
508,2020,TRUE,16
509,2004,FALSE,-99
509,2005,FALSE,-99
509,2006,FALSE,-99
509,2007,FALSE,-99
509,2008,FALSE,-99
509,2009,FALSE,-99
509,2010,FALSE,-99
509,2011,FALSE,-99
509,2012,FALSE,-99
509,2013,FALSE,-99
509,2014,FALSE,-99
509,2015,FALSE,-99
509,2016,FALSE,-99
509,2017,FALSE,-99
509,2018,FALSE,-99
509,2019,FALSE,-99
509,2020,FALSE,-99
510,2004,FALSE,-99
510,2005,FALSE,-99
510,2006,FALSE,-99
510,2007,FALSE,-99
510,2008,FALSE,-99
510,2009,FALSE,-99
510,2010,FALSE,-99
510,2011,FALSE,-99
510,2012,FALSE,-99
510,2013,FALSE,-99
510,2014,FALSE,-99
510,2015,FALSE,-99
510,2016,FALSE,-99
510,2017,FALSE,-99
510,2018,FALSE,-99
510,2019,FALSE,-99
510,2020,FALSE,-99
511,2004,FALSE,-10
511,2005,FALSE,-9
511,2006,FALSE,-8
511,2007,FALSE,-7
511,2008,FALSE,-6
511,2009,FALSE,-5
511,2010,FALSE,-4
511,2011,FALSE,-3
511,2012,FALSE,-2
511,2013,FALSE,-1
511,2014,TRUE,-0
511,2015,TRUE,1
511,2016,TRUE,2
511,2017,TRUE,3
511,2018,TRUE,4
511,2019,TRUE,5
511,2020,TRUE,6
512,2004,TRUE,-0
512,2005,TRUE,1
512,2006,TRUE,2
512,2007,TRUE,3
512,2008,TRUE,4
512,2009,TRUE,5
512,2010,TRUE,6
512,2011,TRUE,7
512,2012,TRUE,8
512,2013,TRUE,9
512,2014,TRUE,10
512,2015,TRUE,11
512,2016,TRUE,12
512,2017,TRUE,13
512,2018,TRUE,14
512,2019,TRUE,15
512,2020,TRUE,16
513,2004,TRUE,-0
513,2005,TRUE,1
513,2006,TRUE,2
513,2007,TRUE,3
513,2008,TRUE,4
