code,n____r,n_____s
662,82,18
525,85,15
532,81,19
790,80,20
644,100,0
583,0,0
634,80,20
743,84,16
524,82,18
520,84,16
635,81,19
800,79,21
512,80,20
537,82,18
716,82,18
692,85,15
821,100,0
756,100,0
746,75,25
502,83,17
630,83,17
559,81,19
757,84,16
506,80,20
736,86,14
514,81,19
523,80,20
754,100,0
767,100,0
637,82,18
648,80,20
519,83,17
564,84,16
517,81,19
584,83,17
575,85,15
759,100,0
602,80,20
868,83,17
515,82,18
598,100,0
510,81,19
752,85,15
546,81,19
604,82,18
522,77,23
535,80,20
673,78,22
600,84,16
623,81,19
682,77,23
542,80,20
751,82,18
679,81,19
505,80,20
606,79,21
676,80,20
765,81,19
565,100,0
516,82,18
801,83,17
802,85,15
649,85,15
745,100,0
724,79,21
513,80,20
570,82,18
866,83,17
571,78,22
670,83,17
509,82,18
592,76,24
798,0,0
773,100,0
563,81,19
755,100,0
658,81,19
518,82,18
545,81,19
567,81,19
647,100,0
636,81,19
566,81,19
569,82,18
533,80,20
710,83,17
766,0,0
744,80,20
618,82,18
691,80,20
758,100,0
527,82,18
718,85,15
639,84,16
561,82,18
574,80,20
734,100,0
603,74,26
747,100,0
616,82,18
557,84,16
702,80,20
582,100,0
642,81,19
643,81,19
551,80,20
749,100,0
839,79,21
541,80,20
558,100,0
722,81,19
693,82,18
803,80,20
529,80,20
651,82,18
503,78,22
669,81,19
737,100,0
553,100,0
813,83,17
640,81,19
711,100,0
528,81,19
617,82,18
613,82,18
687,89,11
762,100,0
686,78,22
628,81,19
828,78,22
698,79,21
659,82,18
622,79,21
501,80,20
544,82,18
740,0,0
633,78,22
650,83,17
652,81,19
534,82,18
631,92,8
632,81,19
804,78,22
656,82,18
597,100,0
675,82,18
504,81,19
753,81,19
508,80,20
820,81,19
500,81,19
552,0,0
521,81,19
717,100,0
560,83,17
764,100,0
811,83,17
556,82,18
573,83,17
611,81,19
538,80,20
610,78,22
862,82,18
576,83,17
770,83,17
661,100,0
641,81,19
825,81,19
807,81,19
855,79,21
507,84,16
819,81,19
657,81,19
612,78,22
624,77,23
725,80,20
588,80,20
881,82,18
619,81,19
543,82,18
638,100,0
609,82,18
555,79,21
530,86,14
539,81,19
581,84,16
547,79,21
605,82,18
540,84,16
531,82,18
789,78,22
671,81,19
760,100,0
709,84,16
526,83,17
626,100,0
625,80,20
511,82,18
549,100,0
705,87,13
548,79,21
554,78,22
627,85,15
678,81,19
577,80,20
550,80,20
810,78,22
536,77,23
771,78,22
596,100,0
