row,date,score,ispartial,code,term
0,2004-01-01,51,False,US-AL-630,n____r
1,2004-02-01,0,False,US-AL-630,n____r
2,2004-03-01,0,False,US-AL-630,n____r
3,2004-04-01,48,False,US-AL-630,n____r
4,2004-05-01,0,False,US-AL-630,n____r
5,2004-06-01,0,False,US-AL-630,n____r
6,2004-07-01,45,False,US-AL-630,n____r
7,2004-08-01,0,False,US-AL-630,n____r
8,2004-09-01,0,False,US-AL-630,n____r
9,2004-10-01,0,False,US-AL-630,n____r
10,2004-11-01,0,False,US-AL-630,n____r
11,2004-12-01,37,False,US-AL-630,n____r
12,2005-01-01,32,False,US-AL-630,n____r
13,2005-02-01,100,False,US-AL-630,n____r
14,2005-03-01,0,False,US-AL-630,n____r
15,2005-04-01,33,False,US-AL-630,n____r
16,2005-05-01,62,False,US-AL-630,n____r
17,2005-06-01,0,False,US-AL-630,n____r
18,2005-07-01,0,False,US-AL-630,n____r
19,2005-08-01,0,False,US-AL-630,n____r
20,2005-09-01,26,False,US-AL-630,n____r
21,2005-10-01,0,False,US-AL-630,n____r
22,2005-11-01,0,False,US-AL-630,n____r
23,2005-12-01,24,False,US-AL-630,n____r
24,2006-01-01,43,False,US-AL-630,n____r
25,2006-02-01,0,False,US-AL-630,n____r
26,2006-03-01,20,False,US-AL-630,n____r
27,2006-04-01,0,False,US-AL-630,n____r
28,2006-05-01,0,False,US-AL-630,n____r
29,2006-06-01,21,False,US-AL-630,n____r
30,2006-07-01,0,False,US-AL-630,n____r
31,2006-08-01,0,False,US-AL-630,n____r
32,2006-09-01,18,False,US-AL-630,n____r
33,2006-10-01,33,False,US-AL-630,n____r
34,2006-11-01,16,False,US-AL-630,n____r
35,2006-12-01,0,False,US-AL-630,n____r
36,2007-01-01,0,False,US-AL-630,n____r
37,2007-02-01,29,False,US-AL-630,n____r
38,2007-03-01,14,False,US-AL-630,n____r
39,2007-04-01,27,False,US-AL-630,n____r
40,2007-05-01,0,False,US-AL-630,n____r
41,2007-06-01,13,False,US-AL-630,n____r
42,2007-07-01,0,False,US-AL-630,n____r
43,2007-08-01,12,False,US-AL-630,n____r
44,2007-09-01,24,False,US-AL-630,n____r
45,2007-10-01,22,False,US-AL-630,n____r
