Market,MarketRank (a),Stations,Status (b),FormerAffiliation (c),Affiliation asof September2006 (c) (d),StationRank inMarket (e),ExpirationDate of FCCLicense, 
"Tampa, Florida",12,WTTA,LMA(f),WB,MNT,6 of 8,02/01/13, 
"Minneapolis/St. Paul, Minnesota",15,WUCW(g),O&O,WB,CW,6 of 7,04/01/06 (h), 
"St. Louis, Missouri",21,KDNL,O&O,ABC,ABC,4 of 8,02/01/06 (h), 
"Pittsburgh, Pennsylvania",22,WPGHWPMY(g),O&OO&O,FOXWB,FOXMNT,4 of 96 of 9,08/01/0708/01/07, 
"Baltimore, Maryland",24,WBFFWNUV,O&OLMA(i),FOXWB,FOXCW,3 of 54 of 5,10/01/04 (h)10/01/12, 
"Raleigh/Durham, North Carolina",29,WLFLWRDC,O&OO&O,WBUPN,CWMNT,5 of 76 of 7,12/01/04 (h)12/01/04 (h), 
"Nashville, Tennessee",30,WZTVWUXPWNAB,O&OO&OOSA(j),FOXUPNWB,FOXMNTCW,4 of 85 of 86 of 8,08/01/05 (h)08/01/05 (h)08/01/05 (j), 
"Columbus, Ohio",32,WSYXWTTE,O&OLMA(i),ABCFOX,ABCFOX,3 of 64 of 6,10/01/05 (h)10/01/05 (h), 
"Cincinnati, Ohio",33,WSTR,O&O,WB,MNT,5 of 8,10/01/05 (h), 
"Milwaukee, Wisconsin",34,WCGVWVTV,O&OO&O,UPNWB,MNTCW,5 of 96 of 9,12/01/05 (h)12/01/05 (h), 
"Asheville, North Carolina/ Greenville/Spartanburg/ Anderson, South Carolina",36,WLOSWMYA(g),O&OLMA(i),ABCWB,ABCMNT,3 of 76 of 7,12/01/04 (h)12/01/04 (h), 
"San Antonio, Texas",37,KABBKMYS(g),O&OO&O,FOXWB,FOXMNT,4 of 75 of 7,08/01/06 (h)08/01/06 (h), 
"Birmingham, Alabama",40,WTTOWABMWDBB,O&OO&OLMA,WBUPNWB,CWMNTCW,5 of 96 of 95 of 9(k),04/01/05 (h)04/01/05 (h)04/01/13, 
"Norfolk, Virginia",42,WTVZ,O&O,WB,MNT,6 of 8,10/01/12, 
"Las Vegas, Nevada",43,KVCW(g)KVMY(g),O&OO&O,INDWB,CWMNT,5 of 76 of 7,10/01/1410/01/06 (h), 
"Oklahoma City, Oklahoma",46,KOKHKOCB,O&OO&O,FOXWB,FOXCW,4 of 95 of 9,06/01/06 (h)06/01/06 (h), 
"Greensboro/Winston-Salem/ Highpoint, North Carolina",47,WXLVWMYV(g),O&OO&O,ABCUPN,ABCMNT,4 of 76 of 7,12/01/04 (h)12/01/04 (h), 
"Buffalo, New York",49,WUTVWNYO,O&OO&O,FOXWB,FOXMNT,4 of 96 of 9,06/01/0706/01/07, 
"Dayton, Ohio",58,WKEFWRGT,O&OLMA(i),ABCFOX,ABCFOX,2 of 84 of 8,10/01/05 (h)10/01/05 (h), 
"Mobile, Alabama/Pensacola, Florida",59,WEARWFGX,O&OO&O,ABCIND,ABCMNT,2 of 9not rated,02/01/05 (h)02/01/13, 
"Richmond, Virginia",61,WRLH,O&O,FOX,FOX,4 of 5,10/01/04 (h), 
"Lexington, Kentucky",63,WDKY,O&O,FOX,FOX,4 of 6,08/01/05 (h), 
"Charleston/Huntington,West Virginia",65,WCHSWVAH,O&OLMA(i),ABCFOX,ABCFOX,3 of 74 of 7,10/01/1210/01/04 (h), 
"Flint/Saginaw/Bay City, Michigan",66,WSMH,O&O,FOX,FOX,4 of 7,10/01/05 (h), 
"Des Moines, Iowa",73,KDSM,O&O,FOX,FOX,4 of 5,02/01/06 (h), 
"Portland, Maine",74,WGME,O&O,CBS,CBS,2 of 6,04/01/07, 
"Rochester, New York",78,WUHF,O&O(l),FOX,FOX,4 of 6,06/01/07, 
"Syracuse, New York",79,WSYTWNYS,O&OLMA,FOXWB,FOXMNT,4 of 66 of 6,06/01/0706/01/07, 
"Cape Girardeau, Missouri/Paducah, Kentucky",80,KBSIWDKA,O&OLMA,FOXWB,FOXMNT,4 of 76 of 7,02/01/06 (h)08/01/13, 
"Springfield/Champaign, Illinois",82,WICSWICD,O&OO&O,ABCABC,ABCABC,2 of 62 of 6(m),12/01/05 (h)12/01/05 (h), 
"Madison, Wisconsin",85,WMSN,O&O,FOX,FOX,4 of 6,12/01/05 (h), 
"Cedar Rapids, Iowa",89,KGAN,O&O(l),CBS,CBS,3 of 6,02/01/06 (h), 
"Charleston, South Carolina",100,WTATWMMP,LMA(i)O&O,FOXUPN,FOXMNT,4 of 66 of 6,12/01/04 (h)12/01/04 (h), 
"Tallahassee, Florida",108,WTWC,O&O,NBC,NBC,3 of 8,02/01/05 (h), 
"Springfield, Massachusetts",109,WGGB,O&O,ABC,ABC,2 of 6,04/01/07, 
"Peoria/Bloomington, Illinois",116,WYZZ,O&O(l),FOX,FOX,4 of 6,12/01/05 (h),
