Market,MarketRank (a),Stations,Status (b),Affiliation (c),Station Rankin Market (d),Expiration Dateof FCC License
"Tampa/St. Petersburg, Florida",14,WTTA,LMA (e),MNT,6 of 9,2/01/13
"Minneapolis/St. Paul, Minnesota",15,WUCW,O&O,CW,6 of 7,4/01/06 (f)(m)
"St. Louis, Missouri",21,KDNL,O&O,ABC,4 of 7,2/01/14
"Pittsburgh, Pennsylvania",23,WPGHWPMY,O&OO&O,FOXMNT,4 of 85 of 8,8/01/158/01/15
"Raleigh/Durham,NorthCarolina",26,WLFLWRDC,O&OO&O,CWMNT,5 of 76 of 7,12/01/04 (f)(m)12/01/04 (f)(m)
"Baltimore, Maryland",27,WBFFWNUV,O&OLMA (g),FOXCW,4 of 65 of 6,10/01/04 (f)(m)10/01/12
"Nashville, Tennessee",29,WZTVWUXPWNAB,O&OO&OOSA (h),FOXMNTCW,4 of 85 of 86 of 8,8/01/138/01/138/01/13
"Cincinnati, Ohio",33,WSTR,O&O,MNT,5 of 6,10/01/13
"Columbus, Ohio",34,WSYXWTTE,O&OLMA (g),ABCFOX,2 of 74 of 7,10/01/1310/01/05 (f)(m)
"Milwaukee, Wisconsin",35,WCGVWVTV,O&OO&O,MNTCW,5 of 96 of 9,12/01/05 (f)(m)12/01/13
"Asheville, North Carolina/Greenville/Spartanburg/Anderson, South Carolina",36,WLOSWMYA,O&OLMA (g),ABCMNT,3 of 85 of 8,12/01/04 (f)(m)12/01/04 (f)
"San Antonio, Texas",37,KABBKMYS,O&OO&O,FOXMNT (n),3 of 75 of 7,8/01/148/01/14
"Birmingham, Alabama",40,WTTOWABMWDBB,O&OO&OLMA,CWMNTCW,5 of 86 of 85 of 8 (i),4/01/05 (f)(m)4/01/134/01/13
"Las Vegas, Nevada",42,KVMYKVCW,O&OO&O,MNTCW,5 of 76 of 7,10/01/1410/01/14
"Norfolk, Virginia",43,WTVZ,O&O,MNT,6 of 7,10/01/12
"Oklahoma City, Oklahoma",45,KOKHKOCB,O&OO&O,FOXCW,4 of 95 of 9,6/01/146/01/14
"Greensboro/Winston-Salem/Highpoint, North Carolina",46,WXLVWMYV,O&OO&O,ABCMNT,4 of 75 of 7,12/01/04 (f)(m)12/01/04 (f)(m)
"Buffalo, New York",52,WUTVWNYO,O&OO&O,FOXMNT,4 of 76 of 7,6/01/156/01/15
"Richmond, Virginia",58,WRLH,O&O,FOX,4 of 6,10/01/12
"Mobile, Alabama/Pensacola, Florida",60,WEARWFGX,O&OO&O,ABCMNT,2 of 98 of 9,2/01/132/01/13
"Lexington, Kentucky",62,WDKY,O&O,FOX,4 of 8,8/01/13
"Charleston/Huntington,West Virginia",63,WCHSWVAH,O&OLMA (g),ABCFOX,2 of 64 of 6,10/01/1210/01/04 (f)(m)
"Dayton, Ohio",65,WKEFWRGT,O&OLMA (g),ABCFOX,2 of 64 of 6,10/01/1310/01/05 (f)(m)
"Flint/Saginaw/Bay City, Michigan",68,WSMH,O&O,FOX,4 of 7,10/01/13
"Des Moines, Iowa",71,KDSM,O&O,FOX,4 of 6,2/01/14
"Portland, Maine",77,WGME,O&O,CBS,2 of 6,4/01/15
"Cape Girardeau, Missouri/Paducah, Kentucky",78,KBSIWDKA,O&OLMA,FOXMNT,4 of 75 of 7,2/01/148/01/13
"Rochester, New York",80,WUHF,O&O (j),FOX,3 of 6,6/01/15
"Syracuse, New York",83,WSYTWNYS,O&OLMA,FOXMNT,4 of 65 of 6,6/01/156/01/15
"Springfield/Champaign, Illinois",84,WICSWICD,O&OO&O,ABCABC,2 of 62 of 6 (k),12/01/05 (f)(m)12/01/13
"Madison, Wisconsin",85,WMSN,O&O,FOX,4 of 6,12/01/13
"Cedar Rapids, Iowa ",88,KGANKFXA,O&OOSA (l),CBSFOX,3 of 54 of 5,2/01/06 (f)(m)2/01/14
"Charleston, South Carolina",97,WTATWMMP,LMA (g)O&O,FOXMNT,4 of 65 of 6,12/01/04 (f)12/01/04 (f)
"Tallahassee, Florida",106,WTWC,O&O,NBC,4 of 6,2/01/13
"Peoria/Bloomington, Illinois",116,WYZZ,O&O (j),FOX,4 of 6,12/01/13
