Market,MarketRank (a),Stations,Channel,Status (b),Network/Program ServiceArrangement (c),StationRank inMarket (d),ExpirationDate of FCCLicense
"Tampa/St. Petersburg, Florida",14,WTTAWTTA,PrimarySecond,LMA(e),MNTTheCoolTV,6 of 9,2/01/13
"Minneapolis/St. Paul, Minnesota",15,WUCWWUCWWUCW,PrimarySecondThird,O&O,CWTheCoolTVThe Country Network,7 of 7,4/01/14
"St. Louis, Missouri",21,KDNLKDNLKDNL,PrimarySecondThird,O&O,ABCTheCoolTVThe Country Network,4 of 7,2/01/14
"Pittsburgh, Pennsylvania",23,WPGHWPMYWPGHWPMY,PrimaryPrimarySecondSecond,O&OO&O,FOXMNTThe Country NetworkTheCoolTV,4 of 76 of 7,8/01/158/01/15
"Raleigh/Durham, North Carolina",24,WLFLWRDCWLFLWRDC,PrimaryPrimarySecondSecond,O&OO&O,CWMNTThe Country NetworkTheCoolTV,5 of 86 of 8,12/01/04 (f)(m) 12/01/04 (f)(m)
"Baltimore, Maryland",27,WBFFWNUVWBFFWBFFWNUV,PrimaryPrimarySecondThirdSecond,O&OLMA(g),FOXCWThis TVThe Country NetworkTheCoolTV,4 of 65 of 6,10/01/04 (f)(m)10/01/12
"Nashville, Tennessee",29,WZTVWUXPWNABWUXPWNAB,PrimaryPrimaryPrimarySecondSecond,O&OO&OOSA(h),FOXMNTCWTheCoolTVThe Country Network,4 of 85 of 86 of 8,8/01/138/01/138/01/13
"Columbus, Ohio",32,WSYXWTTEWSYXWTTE,PrimaryPrimarySecondSecond,O&OLMA(g),ABCFOXThis TV and MNTTheCoolTV,2 of 64 of 6,10/01/1310/01/05 (f)(m)
"Salt Lake City/St. George, Utah",33,KUTVKMYUKUTVKMYU,PrimaryPrimarySecondSecond,LMA(n)LMA(n),CBSThis TV and MNTThis TV and MNTCBS(p),1 of 77 of 7,10/01/1410/01/14
"Milwaukee, Wisconsin",34,WCGVWVTVWCGV,PrimaryPrimarySecond,O&OO&O,MNTCWThe Country Network,5 of 87 of 8,12/01/05 (f)(m) 12/01/13
"Cincinnati, Ohio",35,WSTRWSTR,PrimarySecond,O&O,MNTTheCoolTV,5 of 5,10/01/13
"San Antonio, Texas",36,KABBKMYSKABBKMYS,PrimaryPrimarySecondSecond,O&OO&O,FOXCWThe Country NetworkTheCoolTV,3 of 75 of 7,8/01/148/01/14
"Asheville, North Carolina/ Greenville/Spartanburg/ Anderson, South Carolina",37,WLOSWMYAWLOSWMYAWMYA,PrimaryPrimarySecondSecondThird,O&OLMA(g),ABCMNTMNTTheCoolTVThe Country Network,2 of 75 of 7,12/01/04 (f)(m) 12/01/04 (f)(m)
"West Palm Beach/Fort Pierce, Florida",38,WPECWTVXWTCNWWHBWPECWPECWTVXWTVXWTVX,PrimaryPrimaryPrimaryPrimarySecondThirdSecondThirdFourth,LMA(o)LMA(n)LMA(n)LMA(n),CBSCWMNTAZTECACBS(p)Weather RadarAZTECA(p)MNT(p)LATV,2 of 65 of 66 of 6not available,2/01/132/01/132/01/132/01/13
"Birmingham, Alabama",39,WTTOWABMWDBBWTTOWABMWDBB,PrimaryPrimaryPrimarySecondSecondSecond,O&OO&OLMA(g),CWMNTCWThe Country NetworkTheCoolTVThe Country Network,5 of 86 of 85 of 8 (i),4/01/05 (f)(m) 4/01/134/01/13
"Las Vegas, Nevada",40,KVMYKVCWKVMYKVCWKVCW,PrimaryPrimarySecondSecondThird,O&OO&O,MNTCWEstella TVThis TVThe Country Network,5 of 76 of 7,10/01/1410/01/14
"Grand Rapids/Kalamazoo, Michigan",42,WWMTWWMT,PrimarySecond,LMA(o),CBSCW,1 of 7,10/01/13
"Norfolk, Virginia",43,WTVZWTVZWTVZ,PrimarySecondThird,O&O,MNTTheCoolTVThe Country Network,6 of 7,10/01/12
"Oklahoma City, Oklahoma",44,KOKHKOCBKOKHKOCB,PrimaryPrimarySecondSecond,O&OO&O,FOXCWThe Country NetworkTheCoolTV,4 of 85 of 8,6/01/146/01/14
"Greensboro/Winston-Salem/Highpoint, North Carolina",46,WXLVWMYVWXLVWMYV,PrimaryPrimarySecondSecond,O&OO&O,ABCMNTThe Country NetworkTheCoolTV,4 of 75 of 7,12/01/04 (f)(m)12/01/04 (f)(m)
"Austin, Texas",47,KEYEKEYE,PrimarySecond,LMA(n),CBSTelemundo,2 of 7,8/01/14
"Buffalo, New York",51,WUTVWNYOWUTVWNYO,PrimaryPrimarySecondSecond,O&OO&O,FOXMNTThe Country NetworkTheCoolTV,4 of 76 of 7,6/01/156/01/15
"Providence, Rhode Island/ New Bedford, Massachusetts",53,WLWCWLWC,PrimarySecond,LMA(n),CWLATV,5 of 5,4/01/15
"Richmond, Virginia",57,WRLHWRLHWRLH,PrimarySecondThird,O&O,FOXThis TV and MNTTheCoolTV,4 of 5,10/01/12
"Albany, New York",58,WRGBWCWNWRGBWCWN,PrimaryPrimarySecondSecond,LMA(o)LMA(o),CBSCWThis TVCBS(p),1 of 65 of 6,6/01/156/01/15
"Mobile, Alabama/ Pensacola, Florida",60,WEARWFGXWEARWFGX,PrimaryPrimarySecondSecond,O&OO&O,ABCThis TV and MNTThe Country NetworkTheCoolTV,2 of 86 of 8,2/01/132/01/13
"Dayton, Ohio",63,WKEFWRGTWKEFWRGT,PrimaryPrimarySecondSecond,O&OLMA(g),ABCFOXTheCoolTVThis TV and MNT,2 of 54 of 5,10/01/1310/01/05 (f)(m)
"Lexington, Kentucky",64,WDKYWDKY,PrimarySecond,O&O,FOXTheCoolTV,3 of 6,8/01/13
"Charleston/Huntington, West Virginia",65,WCHSWVAHWCHSWVAH,PrimaryPrimarySecondSecond,O&OLMA(g),ABCFOXTheCoolTVThe Country Network,2 of 54 of 5,10/01/1210/01/04 (f)(m)
"Flint/Saginaw/Bay City, Michigan",68,WSMHWSMHWSMH,PrimarySecondThird,O&O,FOXTheCoolTVThe Country Network,3 of 5,10/01/13
"Des Moines, Iowa",72,KDSMKDSMKDSM,PrimarySecondThird,O&O,FOXTheCoolTVThe Country Network,3 of 6,2/01/14
"Portland, Maine",78,WGMEWGME,PrimarySecond,O&O,CBSTheCoolTV,2 of 6,4/01/15
"Rochester, New York",79,WUHFWUHF,PrimarySecond,O&O(j),FOXTheCoolTV,not available,6/01/15
"Cape Girardeau, Missouri/ Paducah, Kentucky",81,KBSIWDKAKBSIWDKAWDKA,PrimaryPrimarySecondSecondThird,O&OLMA,FOXMNTMNTTheCoolTVThe Country Network,4 of 65 of 6,2/01/148/01/13
"Springfield/Champaign, Illinois",82,WICSWICDWICSWICD,PrimaryPrimarySecondSecond,O&OO&O,ABCABCThe Country NetworkTheCoolTV,2 of 62 of 6 (k),12/01/05 (f)(m)12/01/13
"Syracuse, New York",84,WSYTWNYSWSYTWNYS,PrimaryPrimarySecondSecond,O&OLMA,FOXMNTThe Country NetworkTheCoolTV,4 of 65 of 6,6/01/156/01/15
"Madison, Wisconsin",85,WMSNWMSNWMSN,PrimarySecondThird,O&O,FOXTheCoolTVThe Country Network,4 of 5,12/01/13
"Chattanooga, Tennessee",86,WTVCWTVC,PrimarySecond,LMA(o),ABCThis TV,1 of 5,8/01/13
