Market,MarketRank (a),StationsinMarket,Stations,Channel,Status (b),Network/Program ServiceArrangement (c),StationRank inMarket (d),ExpirationDate of FCCLicense
"Seattle/Tacoma, WA",13,2,KOMOKUNSKOMOKUNS,PrimaryPrimarySecondSecond,O&OO&O,ABCUnivisionThis TVMundoFox,3 of 98 of 9,2/01/15
"Tampa/St. Petersburg, Florida",14,1,WTTA,Primary,O&O,MNT,7 of 9,2/01/13 (f)
"Minneapolis/St. Paul, Minnesota",15,1,WUCWWUCW,PrimarySecond,O&O,CWZuus Country,6 of 7,4/01/14
"St. Louis, Missouri",21,1,KDNLKDNL,PrimarySecond,O&O,ABCZuus Country,4 of 7,2/01/14
"Portland, Oregon",22,3,KATUKUNP/KUNP-LDKATUKUNP, PrimaryPrimarySecondSecond,O&OO&O,ABCUnivision ME TVMundoFox,1 of 88 of 8,2/01/152/01/15
"Pittsburgh, PA",23,2,WPGHWPMYWPGH,PrimaryPrimarySecond,O&OO&O,FOXMNTZuus Country,4 of 76 of 7,8/01/158/01/15
"Raleigh/Durham, North Carolina",24,2,WLFLWRDCWLFL,PrimaryPrimarySecond,O&OO&O,CWMNTZuus Country,5 of 76 of 7,12/01/04 (e)12/01/04 (e)
"Baltimore, Maryland",27,3,WBFFWUTBWNUVWBFFWUTBWBFF,PrimaryPrimaryPrimarySecondSecondThird,O&OJSA/SSA(h)LMA(g),FOXMNTCWThis TVBounce NetworkZuus Country,3 of 65 of 66 of 6,10/01/04 (e)10/01/12 (e)10/01/12 (f)
"Nashville, Tennessee",29,3,WZTVWUXPWNABWNAB,PrimaryPrimaryPrimarySecond,O&OO&OJSA/SSA(h),FOXMNTCWZuus Country,4 of 75 of 76 of 7,8/01/13 (f)8/01/13 (f)8/01/21
"Columbus, Ohio",32,3,WSYXWTTEWWHOWSYX,PrimaryPrimaryPrimarySecond,O&OLMA(g)JSA/SSA(h),ABCFOXCWThis TV and MNT,2 of 74 of 75 of 7,10/01/13 (f)10/01/05 (e)10/01/13 (e)
"Salt Lake City/St. George, Utah",33,3,KUTVKMYUKENV(j)KUTVKMYU,PrimaryPrimaryPrimarySecondSecond,O&OO&OJSA/SSA(h),CBSMNTNBCMNTCBS,1 of 87 of 88 of 8,10/01/1410/01/1410/01/14
"Milwaukee, Wisconsin",34,2,WVTVWCGVWCGV,PrimaryPrimarySecond,O&OO&O,CWMNTZuus Country,7 of 98 of 9,12/01/13 (f)12/01/05 (e)
"Cincinnati, Ohio",35,2,WKRCWSTRWKRC,PrimaryPrimarySecond,O&OJSA/SSA(h),CBSMNTCW,1 of 75 of 7,10/01/13 (f)10/01/21
"San Antonio, Texas",36,3,WOAIKABBKMYSKABBWOAI,PrimaryPrimaryPrimarySecondSecond,O&OO&OJSA/SSA(h),NBCFOXCWZuus CountryLive Well Network,3 of 64 of 65 of 6,8/01/148/01/148/01/14
"Asheville, North Carolina/ Greenville/Spartanburg/ Anderson, South Carolina",37,2,WLOSWMYAWLOSWMYA,PrimaryPrimarySecondSecond,O&OLMA(g),ABCMNTMNTZuus Country,3 of 75 of 7,12/01/04 (e)12/01/04 (e)
"West Palm Beach/Fort Pierce, Florida",38,4,WPECWTVXWTCN-CAWWHB-CA WPECWPECWTVXWTVX,PrimaryPrimaryPrimaryPrimary SecondThirdSecondThird,O&OO&OO&OO&O,CBSCWMNTAzteca(k) CBSWeather RadarAzteca(k)MNT,3 of 65 of 66 of 6Not available,2/01/13 (f)2/01/13 (f)2/01/13 (f)2/01/13 (f)
"Grand Rapids/Kalamazoo, Michigan",39,1,WWMTWWMT,PrimarySecond,O&O,CBSCW,1 of 6,10/01/13(f)
"Austin, Texas",40,1,KEYEKEYE,PrimarySecond,O&O,CBSTelemundo,3 of 6,8/01/14
"Oklahoma City, Oklahoma",41,2,KOKHKOCBKOKH,PrimaryPrimarySecond,O&OO&O,FOXCWZuus Country,4 of 75 of 7,6/01/146/01/14
"Las Vegas, Nevada",42,2,KVMYKVCWKVMYKVCWKVCW,PrimaryPrimarySecondSecondThird,O&OO&O,MNTCWEstrella TVThis TVZuus Country,4 of 65 of 6,10/01/1410/01/14
"Harrisburg/Lancaster/ Lebanon/York, Pennsylvania",43,2,WHPWLYHWHPWLYH,PrimaryPrimarySecondSecond,O&OLMA(g),CBSCWMNTLive Well Network,2 of 75 of 7,8/01/158/01/07(e)
"Birmingham, Alabama",44,3,WTTOWABMWDBBWTTOWDBB,PrimaryPrimaryPrimarySecondSecond,O&OO&OLMA(g),CWMNTCWZuus CountryZuus Country,5 of 76 of 75 of 7,4/01/05 (e)4/01/214/01/21
"Norfolk, Virginia",45,1,WTVZWTVZ,PrimarySecond,O&O,MNTZuus Country,6 of 7,10/01/12 (f)
"Greensboro/Winston- Salem/Highpoint, North Carolina",46,2,WXLVWMYVWXLV,PrimaryPrimarySecond,O&OO&O,ABCMNTZuus Country,4 of 65 of 6,12/01/04 (e)12/01/04 (e)
"Buffalo, New York",52,2,WUTVWNYOWUTV,PrimaryPrimarySecond,O&OO&O,FOXMNTZuus Country,4 of 66 of 6,6/01/156/01/15
"Fresno/Visalia, California",55,3,KMPH/KMPH-CDKFREKMPHKFRE,Primary PrimarySecondSecond,O&O O&O,FOX CWThis TVEstrella TV,3 of 11 7 of 11,12/01/14 12/01/1412/01/14
"Richmond, Virginia",57,1,WRLHWRLH,PrimarySecond,O&O,FOXThis TV and MNT,4 of 6,10/01/12 (f)
"Albany, New York",58,2,WRGBWCWNWRGBWCWN,PrimaryPrimarySecondSecond,O&OO&O,CBSCWThis TVCBS,1 of 65 of 6,6/01/156/01/15
"Mobile, Alabama/ Pensacola, Florida",59,4,WEARWPMIWJTCWFGXWEARWPMI,PrimaryPrimaryPrimaryPrimarySecondSecond,O&OJSA/SSA(h)JSA/SSA(h)O&O,ABCNBCINDMNTZuus CountryWeather Nation,2 of 74 of 75 of 77 of 7,2/01/13 (f)4/01/13 (e)2/01/13 (f)2/01/13 (f)
"Lexington, Kentucky",63,1,WDKY,Primary,O&O,FOX,3 of 8,8/01/13 (f)
"Dayton, Ohio",64,2,WKEFWRGTWRGT,PrimaryPrimarySecond,O&OLMA(g),ABCFOXMNT and This TV,3 of 54 of 5,10/01/13 (f)10/01/05 (e)
"Charleston/Huntington, West Virginia",65,2,WCHSWVAHWVAH,PrimaryPrimarySecond,O&OLMA(g),ABCFOXZuus Country,2 of 64 of 6,10/01/12 (f)10/01/04 (e)
"Wichita/Hutchinson Plus, Kansas",67,6,KSAS/ KOCW/ KAAS/KAAS-LP/KSAS-LPKMTWKSASKMTW,Primary    PrimarySecondSecond,O&O    LMA(g),FOX    MNTAntenna TVZuus Country,4 of 6    6 of 6,6/01/14    6/01/14
"Flint/Saginaw/Bay City, Michigan",68,3,WSMHWEYIWBSFWSMHWEYIWSBSFWEYI,PrimaryPrimaryPrimarySecondSecondSecondThird,O&OJSA/SSA(h)JSA/SSA(h) ,FOXNBCCWZuus CountryCWNBCBounce Network,3 of 64 of 65 of 6 ,10/01/13(f)10/01/2110/01/21 
"Des Moines, Iowa",72,1,KDSMKDSM,PrimarySecond,O&O,FOXZuus Country,4 of 6,2/01/14
"Spokane, Washington",73,1,KLEW,Primary,O&O,CBS,Not available,10/01/14
"Omaha, Nebraska",74,2,KPTMKXVOKPTMKXVOKPTM,PrimaryPrimarySecondSecondThird,O&OLMA(g),FOXCWThis TV and MNTThis TVEstrella TV,4 of 75 of 7,6/01/146/01/06(e)
"Toledo, Ohio",76,1,WNWOWNWO,PrimarySecond,O&O,NBCRetro TV,3 of 6,10/01/21
"Columbia, South Carolina",77,1,WACH,Primary,O&O,FOX,4 of 6,12/01/20
"Rochester, New York",78,2,WHAMWUHFWHAM,PrimaryPrimarySecond,JSA/SSA(h)JSA/SSA(i),ABCFOXCW,2 of 54 of 5,6/01/156/01/15 
"Portland, Maine",80,2,WGMEWPFO,PrimaryPrimary,O&OJSA/SSA(h),CBSFOX,2 of 64 of 6,4/01/154/01/07(f)
"Cape Girardeau, Missouri/ Paducah, Kentucky",81,2,KBSIWDKAKBSIWDKA,PrimaryPrimarySecondSecond,O&OLMA(g),FOXMNTMNTZuus Country,4 of 65 of 6,2/01/148/01/21
"Madison, Wisconsin",83,1,WMSNWMSN,PrimarySecond,O&O,FOXZuus Country,4 of 5,12/01/13 (f)
"Springfield/Champaign/ Decatur, Illinois",84,5,WICS/WICDWRSP/WCCUWBUIWICSWRSPWCCUWBUI,Primary Primary PrimarySecondSecondSecondSecond,O&O JSA/SSA(h) JSA/SSA(h) ,ABC FOX CWZuus CountryME TVME TVThis TV,3 of 6 4 of 6 6 of 6 ,12/01/05 (e)12/01/13 (f)12/01/13 (f) 12/01/13 (f) 
"Syracuse, New York",85,3,WSTMWTVHWSTQ-LPWSTMWSTM,PrimaryPrimaryPrimarySecondThird,O&OJSA/SSA(h)O&O,NBCCBSCWCWLocal News & Weather,2 of 63 of 66 of 6,6/01/156/01/156/01/15 
"Harlingen/Weslaco/ Brownsville/McAllen,TX",86,1,KGBTKGBT,PrimarySecond,O&O,CBSInmigrante TV,5 of 16,8/01/14
"Chattanooga, Tennessee",87,1,WTVCWTVC,PrimarySecond,O&O,ABCThis TV,1 of 6,8/01/13 (f)
"Colorado Springs, Colorado",89,2,KXRMKXTU-LDKXRMKXTU-LD,PrimaryPrimarySecondSecond,O&OO&O,FOXCWCWMundoFox,4 of 65 of 6,8/01/148/01/14
"Cedar Rapids, Iowa",90,2,KGANKFXAKFXA,PrimaryPrimarySecond,O&OJSA/SSA(h) ,CBSFOXZuus Country,3 of 44 of 4,2/01/142/01/14
"El Paso, Texas",91,2,KFOXKDBCKFOXKDBCKDBC,PrimaryPrimarySecondSecondThird,O&OJSA/SSA(i),FOXCBSRetro TVThis TV and MNTTele-Romantica,3 of 64 of 6,8/01/148/01/14
"Charleston, South Carolina",95,2,WTATWMMPWMMP,PrimaryPrimarySecond,LMA(g)O&O,FOXMNTZuus Country,4 of 65 of 6,12/01/04 (e)12/01/04 (e)
"Myrtle Beach/Florence, SC",102,2,WPDEWWMBWPDEWWMB,PrimaryPrimarySecondSecond,O&OLMA(g),ABCCWLocal News & WeatherCW,2 of 65 of 6,12/01/2012/01/20
"Johnstown/Altoona, PA",103,1,WJACWJAC,PrimarySecond,O&O,NBCME TV,2 of 5,8/01/15
