Market,Market Rank (a),Number of Channels,Stations(b),NetworkAffiliation(c)
"Washington, DC",7,3,WJLA,ABC
"Seattle / Tacoma, WA",14,5,"KOMO, KUNS","ABC, Univision"
"Minneapolis / St.Paul, MN",15,3,WUCW,CW
"St. Louis, MO",21,3,KDNL,ABC
"Pittsburgh, PA",23,6,"WPGH, WPNT","FOX, MNT"
"Portland, OR",24,8,"KATU, KUNP","ABC, Univision"
"Raleigh / Durham, NC",25,5,"WLFL, WRDC","CW, MNT"
"Baltimore, MD",26,9,"WBFF, WNUV(d), WUTB(e)","FOX, CW, MNT"
"Nashville, TN",29,9,"WZTV, WUXP, WNAB(e)","FOX, MNT, CW"
"Columbus, OH",31,8,"WSYX, WTTE(d), WWHO(e)","ABC, FOX, CW"
"San Antonio, TX",32,5,"KABB, KMYS(e), WOAI","FOX, CW, NBC"
"Salt Lake City, UT",34,6,"KUTV, KMYU, KENV","MNT, CBS, NBC"
"Milwaukee, WI",35,5,"WVTV, WCGV","CW, MNT"
"Cincinnati, OH",36,5,"WKRC, WSTR(e)","CBS, MNT, CW"
"Asheville, NC / Anderson, SC / Greenville-Spartanburg, SC",37,7,"WLOS, WMYA(d)","ABC, MNT"
"West Palm Beach / Fort Pierce, FL",38,9,"WPEC, WTVX, WTCN-CA","CBS, CW, MNT"
"Austin, TX",39,2,KEYE,CBS
"Las Vegas, NV",40,6,"KSNV, KVCW","NBC, CW, MNT"
"Grand Rapids / Kalamazoo, MI",41,3,WWMT,"CBS, CW"
"Norfolk, VA",42,3,WTVZ,MNT
"Oklahoma City, OK",43,6,"KOKH, KOCB","FOX, CW"
"Harrisburg / Lancaster / Lebanon / York, PA",44,3,WHP,"CBS, MNT"
"Birmingham, AL",45,13,"WBMA,WTTO, WDBB(d), WABM","ABC, CW, MNT"
"Greensboro / High Point / Winston Salem, NC",46,6,"WXLV, WMYV","ABC, MNT"
"Providence, RI / New Bedford, MA",52,3,WJAR,NBC
"Buffalo, NY",53,6,"WUTV, WNYO","FOX, MNT"
"Fresno / Visalia, CA",54,6,"KMPH, KFRE","FOX, CW"
"Wilkes Barre / Scranton, PA",55,9,"WOLF(d), WQMY(d), WSWB(e)","FOX, MNT, CW"
"Richmond, VA",56,3,WRLH,"FOX, MNT"
"Little Rock / Pine Bluff, AR",57,3,KATV,ABC
"Mobile, AL / Pensacola, FL",58,9,"WEAR, WPMI(e), WJTC(e), WFGX","ABC, NBC, IND, MNT"
"Albany, NY",59,6,"WRGB, WCWN","CBS, CW"
"Tulsa, OK",60,3,KTUL,ABC
"Lexington, KY",63,3,WDKY,FOX
"Dayton, OH",64,6,"WKEF, WRGT(d)","ABC, FOX, MNT"
"Wichita / Hutchinson, KS",65,17,"KAAS, KSAS, KOCW, KMTW(d)","FOX, MNT"
