Market,Market Rank (a),Number of Channels,Stations,NetworkAffiliation (b)
"Washington, DC",7,4,WJLA,ABC
"Seattle / Tacoma, WA",13,6,"KOMO, KUNS",ABC
"Minneapolis / St. Paul, MN",15,4,WUCW,CW
"Portland, OR",22,10,"KATU, KUNP, KUNP-LD",ABC
"St. Louis, MO",23,4,KDNL,ABC
"Pittsburgh, PA",24,7,"WPGH, WPNT","FOX, MNT"
"Baltimore, MD",26,8,"WBFF, WNUV(c), WUTB(d)","FOX, CW, MNT"
"Raleigh / Durham, NC",27,7,"WLFL, WRDC","CW, MNT"
"Nashville, TN",28,10,"WZTV, WNAB(d), WUXP","FOX, CW, MNT"
"Salt Lake City, UT",30,10,"KUTV, KMYU, KENV(d), KJZZ","CBS, MNT, IND"
"San Antonio, TX",31,9,"KABB, KMYS(d), WOAI","FOX, NBC, CW"
"Columbus, OH",34,9,"WSYX, WTTE(c), WWHO(d)","ABC, FOX, CW, MNT"
"Milwaukee, WI",35,3,WVTV,"CW, MNT"
"West Palm Beach / Fort Pierce, FL",36,13,"WPEC, WTVX, WTCN-CA, WWHB-CA","CBS, CW, MNT"
"Cincinnati, OH",37,8,"WKRC, WSTR(d)","CBS, CW, MNT"
"Asheville, NC / Greenville, SC",38,9,"WLOS, WMYA(c)","ABC, MNT"
"Las Vegas, NV",39,8,"KSNV, KVCW","NBC, CW, MNT"
"Austin, TX",40,2,KEYE,CBS
"Norfolk, VA",42,4,WTVZ,MNT
"Oklahoma City, OK",43,7,"KOKH, KOCB","FOX, CW"
"Birmingham / Tuscaloosa, AL",44,15,"WBMA-LD, WDBB(c), WTTO, WABM","ABC, CW, MNT"
"Grand Rapids / Kalamazoo / Battle Creek, MI",45,3,WWMT,"CBS, CW"
"Harrisburg / Lancaster / Lebanon / York, PA",47,3,WHP,"CBS, CW, MNT"
"Greensboro / High Point / Winston Salem, NC",49,7,"WXLV, WMYV","ABC, MNT"
"Buffalo, NY",52,7,"WUTV, WNYO","FOX, MNT"
"Richmond, VA",54,5,WRLH,"FOX, MNT"
"Fresno / Visalia, CA",55,12,"KMPH, KMPH-CD, KFRE","FOX, CW"
"Providence, RI / New Bedford, MA",56,4,WJAR,NBC
"Mobile, AL / Pensacola, FL",57,12,"WEAR, WPMI(d), WFGX, WJTC(d)","ABC, NBC, MNT, IND"
"Tulsa, OK",58,4,KTUL,ABC
"Albany, NY",59,7,"WRGB, WCWN","CBS, CW"
