code,market
539.00,"Tampa, Florida"
613.00,"Minneapolis/St. Paul, Minnesota"
609.00,"St. Louis, Missouri"
508.00,"Pittsburgh, Pennsylvania"
512.00,"Baltimore, Maryland"
560.00,"Raleigh/Durham, North Carolina"
659.00,"Nashville, Tennessee"
535.00,"Columbus, Ohio"
617.00,"Milwaukee, Wisconsin"
515.00,"Cincinnati, Ohio"
567.00,"Asheville, North Carolina/Greenville/Spartanburg/Anderson, South Carolina"
641.00,"San Antonio, Texas"
630.00,"Birmingham, Alabama"
544.00,"Norfolk, Virginia"
650.00,"Oklahoma City, Oklahoma"
518.00,"Greensboro/Winston-Salem/ Highpoint, North Carolina"
839.00,"Las Vegas, Nevada"
514.00,"Buffalo, New York"
542.00,"Dayton, Ohio"
556.00,"Richmond, Virginia"
686.00,"Mobile, Alabama and Pensacola, Florida"
541.00,"Lexington, Kentucky"
564.00,"Charleston and Huntington, West Virginia"
513.00,"Flint/Saginaw/Bay City, Michigan"
679.00,"Des Moines, Iowa"
500.00,"Portland, Maine"
555.00,"Syracuse, New York"
538.00,"Rochester, New York"
632.00,"Cape Girardeau, Missouri/ Paducah, Kentucky"
648.00,"Springfield/Champaign, Illinois"
669.00,"Madison, Wisconsin"
637.00,"Cedar Rapids, Iowa"
564.00,"Charleston, South Carolina"
619.00,"Springfield, Massachusetts"
530.00,"Tallahassee, Florida"
675.00,"Peoria/Bloomington, Illinois"
567.00,567.00"Asheville, North Carolina/ Greenville/Spartanburg/ Anderson, South Carolina"
686.00,"Mobile, Alabama/Pensacola, Florida"
564.00,"Charleston/Huntington,West Virginia"
632.00,"Cape Girardeau, Missouri/Paducah, Kentucky"
564.00,"Charleston/Huntington, West Virginia"
560.00,"Raleigh/Durham,North Carolina"
518.00,"Greensboro/Winston-Salem/Highpoint, North Carolina"
686.00,"Mobile, Alabama/Pensacola,Florida"
564.00,"Charleston/Huntington, West Virginia"
539.00,"Tampa/St. Petersburg, Florida"
560.00,"Raleigh/Durham,NorthCarolina"
637.00,"Cedar Rapids, Iowa "
560.00,"Raleigh/Durham, North Carolina"
567.00,"Asheville, North Carolina/ Greenville/Spartanburg/ Anderson, South Carolina"
679.00,"Des Moines, Iowa"
632.00,"Cape Girardeau, Missouri/ Paducah, Kentucky"
648.00,"Springfield/Champaign, Illinois"
637.00,"Cedar Rapids, Iowa"
675.00,"Peoria/Bloomington, Illinois"
770.00,"Salt Lake City/St. George, Utah"
548.00,"West Palm Beach/Fort Pierce, Florida"
563.00,"Grand Rapids/Kalamazoo, Michigan"
635.00,"Austin, Texas"
521.00,"Providence, Rhode Island/ New Bedford, Massachusetts"
532.00,"Albany, New York"
686.00,"Mobile, Alabama/ Pensacola, Florida"
575.00,"Chattanooga, Tennessee"
551.00,"Lansing, Michigan"
813.00,"Medford, Oregon"
692.00,"Beaumont, Texas"
569.00,"Harrisburg/Lancaster/ Lebanon/York, Pennsylvania"
518.00,"Greensboro/Winston-Salem/Highpoint, North Carolina"
678.00,"Wichita/Hutchinson Plus, Kansas"
619.00,"Springfield/Champaign/ Decatur, Illinois"
819.00,"Seattle/Tacoma, WA"
820.00,"Portland, Oregon"
508.00,"Pittsburgh, PA"
563.00,"Grand Rapids/Kalamazoo, Michigan"
518.00,"Greensboro/Winston- Salem/Highpoint, North Carolina"
866.00,"Fresno/Visalia, California"
881.00,"Spokane, Washington"
652.00,"Omaha, Nebraska"
547.00,"Toledo, Ohio"
546.00,"Columbia, South Carolina"
636.00,"Harlingen/Weslaco/ Brownsville/McAllen,TX"
752,"Colorado Springs, Colorado"
765.00,"El Paso, Texas"
570.00,"Myrtle Beach/Florence, SC"
574.00,"Johnstown/Altoona, PA"
811.00,"Reno, Nevada"
757.00,"Boise, Idaho"
540.00,"Traverse City/Cadillac, MI"
801.00,"Eugene, Oregon"
810.00,"Yakima/Pasco/Richland/Kennewick, Washington"
800.00,"Bakersfield, California"
634.00,"Amarillo, Texas"
604.00,"Columbia/Jefferson City, Missouri"
624.00,"Sioux City, Iowa"
535.00,"Albany, Georgia"
544.00,"Steubenville, OH / Wheeling, WV"
717.00,"Quincy, IL/Hannibal, MO/Keokuk, IA"
553.00,"Marquette, Michigan"
631.00,"Ottumwa, IA/Kirksville, MO"
511.00,"Washington, DC"
819.00,"Seattle /Tacoma, WA"
613.00,"Minneapolis, MN"
609.00,"St. Louis, MO"
820.00,"Portland, OR"
560.00,"Raleigh / Durham, NC"
512.00,"Baltimore, MD"
659.00,"Nashville, TN"
535.00,"Columbus, OH"
561.00,"San Antonio, TX"
770.00,"Salt Lake City, UT"
617.00,"Milwaukee, WI"
515.00,"Cincinnati, OH"
567.00,"Asheville, NC / Anderson, SC / Greenville Spartanburg, SC"
548.00,"West Palm Beach /Fort Pierce, FL"
635.00,"Austin, TX"
637.00,"Grand Rapids / Kalamazoo, MI"
839.00,"Las Vegas, NV"
544.00,"Norfolk, VA"
630.00,"Birmingham, AL"
650.00,"Oklahoma City, OK"
566.00,"Harrisburg / Lancaster / Lebanon / York, PA"
518.00,"Greensboro / High Point / Winston Salem, NC"
514.00,"Buffalo, NY"
521.00,"Providence, RI / New Bedford, MA"
866.00,"Fresno / Visalia, CA"
